AVG R2 SCORE: -0.21288904170739809, SYMBOLIC: -0.301393126243769
AVG R2 SCORE: 0.9679932170543429, SYMBOLIC: 0.9742941955304312
AVG R2 SCORE: 0.9778524982070916, SYMBOLIC: 0.9070220048593622
AVG R2 SCORE: 0.9869799207290222, SYMBOLIC: 0.8291027662316591
AVG R2 SCORE: 0.9785595963037269, SYMBOLIC: 0.946157821071189
AVG R2 SCORE: 0.9826340677790368, SYMBOLIC: 0.9867074107852084
AVG R2 SCORE: 0.9903514964472433, SYMBOLIC: 0.9679234633882321
AVG R2 SCORE: 0.9850501075744837, SYMBOLIC: 0.9706271188537997
AVG R2 SCORE: 0.9779090125625698, SYMBOLIC: 0.9552150629503053
AVG R2 SCORE: 0.9894244863043348, SYMBOLIC: 0.9665714401649058
AVG R2 SCORE: 0.9041965112965974, SYMBOLIC: NaN
AVG R2 SCORE: 0.9943760008563765, SYMBOLIC: 0.866014474170018
AVG R2 SCORE: 0.9839208025187494, SYMBOLIC: 0.8412302374515587
AVG R2 SCORE: 0.9474396418565098, SYMBOLIC: 0.39148907629329277
AVG R2 SCORE: 0.9679095246557025, SYMBOLIC: 0.9580304861781012
AVG R2 SCORE: 0.9606471111962868, SYMBOLIC: 0.947249144768149
AVG R2 SCORE: 0.9829544159933895, SYMBOLIC: 0.8858087048155932
AVG R2 SCORE: 0.9808400052636902, SYMBOLIC: 0.9096697456067657
AVG R2 SCORE: 0.038477540117961895, SYMBOLIC: 0.8831929152400397
AVG R2 SCORE: 0.9861981242731693, SYMBOLIC: 0.8393431974662264
AVG R2 SCORE: 0.9892920496168595, SYMBOLIC: 0.9786160377445462
AVG R2 SCORE: 0.9883174224465452, SYMBOLIC: 0.8346591009225932
AVG R2 SCORE: 0.9748727311430575, SYMBOLIC: 0.9455679080725387
AVG R2 SCORE: 0.9828580041772187, SYMBOLIC: 0.9857977088696349
AVG R2 SCORE: 0.8628473261945916, SYMBOLIC: 0.8219376780984207
AVG R2 SCORE: 0.965779103977407, SYMBOLIC: 0.9696421302436558
AVG R2 SCORE: 0.989029495510521, SYMBOLIC: 0.6034318180541054
AVG R2 SCORE: -0.35800110541021835, SYMBOLIC: -0.3578568029050535
AVG R2 SCORE: 0.960577110732314, SYMBOLIC: 0.929314548747793
AVG R2 SCORE: 0.9730036463420366, SYMBOLIC: 0.9690558147694723
AVG R2 SCORE: 0.9846796960875124, SYMBOLIC: 0.9460888328380104
AVG R2 SCORE: 0.880859706213698, SYMBOLIC: 0.83974532040157
AVG R2 SCORE: 0.9655929088932481, SYMBOLIC: 0.939854472431932
AVG R2 SCORE: 0.9588759900695962, SYMBOLIC: 0.7713814339424372
AVG R2 SCORE: 0.9745127973003076, SYMBOLIC: 0.956706257376692
AVG R2 SCORE: 0.9817563405151523, SYMBOLIC: 0.9544167235882351
AVG R2 SCORE: 0.9733403015038414, SYMBOLIC: 0.9278995823271909
AVG R2 SCORE: 0.9665678519182799, SYMBOLIC: 0.9200865000637806
AVG R2 SCORE: 0.9846067740887433, SYMBOLIC: 0.6688168291606571
AVG R2 SCORE: 0.9478754226545765, SYMBOLIC: 0.9397136514772846
AVG R2 SCORE: 0.9832695327707569, SYMBOLIC: 0.9900619932212565
AVG R2 SCORE: 0.9803759413764535, SYMBOLIC: 0.9566047099246116
AVG R2 SCORE: 0.9798070077671335, SYMBOLIC: 0.9829884464470552
AVG R2 SCORE: 0.9745473233273706, SYMBOLIC: 0.24653335447933067
AVG R2 SCORE: 0.9895120846646273, SYMBOLIC: 0.9601871039112004
AVG R2 SCORE: 0.9424156775789633, SYMBOLIC: 0.6926849425110041
AVG R2 SCORE: 0.9778116801752206, SYMBOLIC: 0.9818667712738035
AVG R2 SCORE: 0.9695845124340662, SYMBOLIC: 0.8245358100926922
AVG R2 SCORE: 0.9863806732582574, SYMBOLIC: 0.5585641347024803
AVG R2 SCORE: 0.977174204987321, SYMBOLIC: 0.9797420459203949
AVG R2 SCORE: 0.9840516160169608, SYMBOLIC: 0.8752743161213752
AVG R2 SCORE: 0.9748304943835137, SYMBOLIC: 0.9971372201724334
AVG R2 SCORE: 0.968995056232391, SYMBOLIC: 0.9714864137692043
AVG R2 SCORE: 0.9710761716236296, SYMBOLIC: NaN
AVG R2 SCORE: 0.9840250097243043, SYMBOLIC: 0.9565976623086166
AVG R2 SCORE: 0.9716753579510027, SYMBOLIC: 0.9061759990797748
AVG R2 SCORE: 0.9684340056539434, SYMBOLIC: 0.9908109408511642
AVG R2 SCORE: 0.973679300416062, SYMBOLIC: 0.9544001831799219
AVG R2 SCORE: 0.9777981819863741, SYMBOLIC: 0.9928652791875112
AVG R2 SCORE: 0.9828047096755603, SYMBOLIC: 0.908733634355632
