AVG R2 SCORE: 0.06484282974596589, SYMBOLIC: 0.06613455105189803
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.145898488501488, SYMBOLIC: 0.14842415611801396
AVG R2 SCORE: -0.013787395240763445, SYMBOLIC: -0.01339629787485519
AVG R2 SCORE: 0.14695327537875247, SYMBOLIC: 0.1454043593556974
AVG R2 SCORE: 0.7651637549634044, SYMBOLIC: 0.7390674977243326
AVG R2 SCORE: 0.8771995856953858, SYMBOLIC: 0.8497917060020389
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.978803956783847, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -0.9079379579015614, SYMBOLIC: -0.9088652743064367
AVG R2 SCORE: 0.9795248606891613, SYMBOLIC: 0.9528834903487171
AVG R2 SCORE: -0.35573543306857425, SYMBOLIC: -0.31669046647351395
AVG R2 SCORE: 0.9693432747545581, SYMBOLIC: 0.5334389396780745
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9770017753471288, SYMBOLIC: 0.957857159743307
AVG R2 SCORE: 0.9833962615481292, SYMBOLIC: NaN
