AVG R2 SCORE: 0.9730321217543852, SYMBOLIC: 0.9668229638360258
AVG R2 SCORE: 0.8825021191332975, SYMBOLIC: 0.8578480341370657
AVG R2 SCORE: 0.9961513123129094, SYMBOLIC: 0.97895091561016
AVG R2 SCORE: 0.9855929206851634, SYMBOLIC: 0.9780118475919506
AVG R2 SCORE: 0.8778758006726152, SYMBOLIC: 0.8559642875110492
AVG R2 SCORE: 0.9799998761980391, SYMBOLIC: 0.9755588425546412
AVG R2 SCORE: 0.9835598175723329, SYMBOLIC: 0.9723241475923657
AVG R2 SCORE: -0.0041181039646212, SYMBOLIC: -0.12284207023887106
AVG R2 SCORE: 0.9665842637397963, SYMBOLIC: 0.9622445881801143
AVG R2 SCORE: 0.9990262509368117, SYMBOLIC: 0.9887559783732416
AVG R2 SCORE: 0.8943574319740254, SYMBOLIC: -4.136279340845142
AVG R2 SCORE: 0.9799911587089482, SYMBOLIC: 0.9720497160516746
AVG R2 SCORE: 0.7132002856314998, SYMBOLIC: 0.6994991537998216
AVG R2 SCORE: 0.9756658057563465, SYMBOLIC: 0.9632529791225041
AVG R2 SCORE: 0.9962767198189971, SYMBOLIC: 0.9792171212638567
AVG R2 SCORE: 0.873987757904412, SYMBOLIC: -0.31036028043073083
AVG R2 SCORE: 0.6624622176091632, SYMBOLIC: 0.6477730158809125
AVG R2 SCORE: 0.970769990960997, SYMBOLIC: 0.901306423648373
AVG R2 SCORE: 0.8365573927054786, SYMBOLIC: -1.8358536135853716
AVG R2 SCORE: 0.99570784165089, SYMBOLIC: NaN
AVG R2 SCORE: 0.9916636666974995, SYMBOLIC: 0.9767575336730407
AVG R2 SCORE: 0.9624358934523016, SYMBOLIC: 0.9417019776907692
